Pipeline,Month,Status,Updated Date,Shipper,Material Name,Material Code,Record Type,Batch Id,Nomination Month,Transaction Date,Custody Location,Connected Facility,Volume (m3)
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Access Western Blend,AWB,Opening Balance,,,,,,1837.2
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Access Western Blend,AWB,Closing Balance,,,,,,1837.2
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Access Western Blend,AWB,Closing Inventory,,,,,,1837.2
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Access Western Blend,AWB,Over/Short,,,,,,-1837.2
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Opening Balance,,,,,,64754.7
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/15/2023 12:35,Edmonton ,Cold Lake Pipeline-EDM,1371.7
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/15/2023 12:36,Edmonton ,Cold Lake Pipeline-EDM,1949
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/16/2023 19:48,Edmonton ,Cold Lake Pipeline-EDM,1634.4
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/16/2023 19:47,Edmonton ,Cold Lake Pipeline-EDM,1544.6
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/16/2023 19:47,Edmonton ,Cold Lake Pipeline-EDM,1905.8
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/17/2023 22:21,Edmonton ,Cold Lake Pipeline-EDM,1638.6
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/17/2023 22:21,Edmonton ,Cold Lake Pipeline-EDM,1549.7
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/17/2023 22:21,Edmonton ,Cold Lake Pipeline-EDM,1901.5
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/18/2023 14:21,Edmonton ,Cold Lake Pipeline-EDM,1640.6
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/18/2023 14:21,Edmonton ,Cold Lake Pipeline-EDM,1550.3
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/18/2023 14:21,Edmonton ,Cold Lake Pipeline-EDM,1909.8
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/20/2023 7:02,Edmonton ,Cold Lake Pipeline-EDM,1905.8
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/20/2023 7:02,Edmonton ,Cold Lake Pipeline-EDM,1548.1
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/20/2023 7:02,Edmonton ,Cold Lake Pipeline-EDM,1638.8
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/20/2023 22:42,Edmonton ,Cold Lake Pipeline-EDM,1544.5
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/20/2023 22:42,Edmonton ,Cold Lake Pipeline-EDM,1903.4
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/20/2023 22:42,Edmonton ,Cold Lake Pipeline-EDM,1635.5
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/21/2023 16:30,Edmonton ,Cold Lake Pipeline-EDM,636.1
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/21/2023 16:30,Edmonton ,Cold Lake Pipeline-EDM,674
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/21/2023 16:30,Edmonton ,Cold Lake Pipeline-EDM,783.7
Trans Mountain Pipe Line,09-01-2023 00:00,Final,10/17/2023 14:44,Parkland Refining (B.C.) LTD.,Cold Lake,CL,Receipts,170923,,9/22/2023 7:02,Edmonton ,Cold Lake Pipeline-EDM,0.4
